,index,site,code,latitude,longitude,site_type
0,1,Aberdeen,ABD,57.15736,-2.094278,Urban Background
1,2,Aberdeen Union Street Roadside,ABD7,57.144555,-2.106472,Urban Traffic
2,3,Aberdeen Wellington Road,ABD8,57.133888,-2.094198,Urban Traffic
3,4,Armagh Roadside,ARM6,54.353728,-6.654558,Urban Traffic
4,5,Aston Hill,AH,52.50385,-3.034178,Rural Background
5,6,Auchencorth Moss,ACTH,55.79216,-3.2429,Rural Background
6,7,Ballymena Antrim Road,BAAR,54.851491,-6.274961,Urban Traffic
7,8,Ballymena Ballykeel,BALM,54.861595,-6.250873,Urban Background
8,9,Barnsley,BARN,53.580045,-1.475865,Urban Background
9,10,Barnsley 12,BAR2,53.555930000000004,-1.485153,Urban Background
10,11,Barnsley Gawber,BAR3,53.56292,-1.510436,Urban Background
11,12,Barnstaple A39,BPLE,51.074793,-4.041924,Urban Traffic
12,13,Bath A4 Roadside,BHA4,51.390922,-2.35503,Urban Traffic
13,14,Bath Roadside,BATH,51.391127,-2.354155,Urban Traffic
14,15,Belfast Centre,BEL2,54.59965,-5.928833,Urban Background
15,16,Belfast Clara St,BEL4,54.591256,-5.89546,Suburban Background
16,17,Belfast East,BEL,54.59653,-5.901667,Urban Background
17,18,Belfast South,BEL3,54.59918,-5.912416,Urban Background
18,19,Belfast Stockman's Lane,BEL1,54.572586,-5.974944,Urban Traffic
19,20,Billingham,BIL,54.60537,-1.275039,Urban Industrial
20,21,Bircotes,BIR,53.422855,-1.054946,Urban Background
21,22,Birkenhead Borough Road,BBRD,53.388511,-3.025014,Urban Traffic
22,23,Birmingham A4540 Roadside,BIRR,52.47609,-1.8750239999999998,Urban Traffic
23,24,Birmingham Acocks Green,AGRN,52.437165,-1.829999,Urban Background
24,25,Birmingham Centre,BIRM,52.479724,-1.908078,Urban Background
25,26,Birmingham East,BIR2,52.49763,-1.8314979999999998,Urban Background
26,27,Birmingham Kerbside,BHAM,52.328057,-1.907512,Urban Traffic
27,28,Birmingham Ladywood,BMLD,52.481346,-1.918235,Urban Background
28,29,Birmingham Tyburn,BIR1,52.511722,-1.8305829999999998,Urban Background
29,30,Birmingham Tyburn Roadside,BIRT,52.512194,-1.830861,Urban Traffic
30,31,Blackburn Accrington Road,BLAR,53.747751,-2.452724,Urban Traffic
31,32,Blackburn Darwen Roadside,BLCB,53.715504,-2.483815,Urban Traffic
32,33,Blackpool,BLAC,53.79046,-3.029283,Urban Background
33,34,Blackpool Marton,BLC2,53.80489,-3.007175,Urban Background
34,35,Bolton,BOLT,53.57232,-2.439583,Urban Background
35,36,Borehamwood Meadow Park,BDMP,51.661229,-0.270671,Urban Background
36,37,Bottesford,BOT,52.93028,-0.814722,Rural Background
37,38,Bournemouth,BORN,50.73957,-1.826744,Urban Background
38,39,Bradford Centre,BRAD,53.79339,-1.748694,Urban Background
39,40,Bradford Mayo Avenue,BDMA,53.771245,-1.759774,Urban Traffic
40,41,Brentford Roadside,BRN,51.489448,-0.310121,Urban Traffic
41,42,Brighton Preston Park,BRT3,50.840836,-0.14757199999999998,Urban Background
42,43,Brighton Roadside,BRIT,50.82354,-0.137281,Urban Traffic
43,44,Bristol Centre,BRIS,51.45718,-2.585622,Urban Background
44,45,Bristol East,BRS,51.45365,-2.578496,Urban Background
45,46,Bristol Old Market,BRS2,51.45603,-2.583519,Urban Traffic
46,47,Bristol St Paul's,BRS8,51.462839,-2.584482,Urban Background
47,48,Bristol Temple Way,BR11,51.457968,-2.583975,Urban Traffic
48,49,Bromley Roadside,BY1,51.4071,0.020128,Urban Traffic
49,50,Burton-on-Trent Horninglow,BOTR,52.82105,-1.635718,Urban Background
50,51,Bury Roadside,BURY,53.53911,-2.289611,Urban Traffic
51,52,Bury Whitefield Roadside,BURW,53.559029,-2.293772,Urban Traffic
52,53,Bush Estate,BUSH,55.862281,-3.205782,Rural Background
53,54,Cambridge,CAMB,51.995804,0.037756,Urban Traffic
54,55,Cambridge Roadside,CAM,52.20237,0.124456,Urban Traffic
55,56,Camden Kerbside,CA1,51.54421,-0.17526899999999998,Urban Traffic
56,57,Cannock A5190 Roadside,CANK,52.687298,-1.980821,Urban Traffic
57,58,Canterbury,CANT,51.27399,1.098061,Urban Background
58,59,Cardiff Centre,CARD,51.48178,-3.17625,Urban Background
59,60,Cardiff East,CAR2,51.48887,-3.163711,Urban Background
60,61,Cardiff Kerbside,CAR,51.482431,-3.17794,Urban Traffic
61,62,Cardiff Newport Road,CNPR,51.49096,-3.152305,Urban Traffic
62,63,Carlisle Roadside,CARL,54.894834,-2.945307,Urban Traffic
63,64,Central London,CLL,51.494722,-0.13833299999999998,Urban Background
64,65,Charlton Mackrell,MACK,51.05625,-2.68345,Rural Background
65,66,Chatham Roadside,CHAT,51.374264,0.5479700000000001,Urban Traffic
66,67,Chepstow A48,CHP,51.638094,-2.678731,Urban Traffic
67,68,Chesterfield,CHS6,53.230583,-1.433611,Urban Background
68,69,Chesterfield Loundsley Green,CHLG,53.244131,-1.454946,Urban Background
69,70,Chesterfield Roadside,CHS7,53.231722,-1.456944,Urban Traffic
70,71,Chilbolton Observatory,CHBO,51.149617,-1.438228,Rural Background
71,72,Chilworth,CHIL,50.962706,-1.424677,Suburban Background
72,73,Christchurch Barrack Road,CHBR,50.735454,-1.780888,Urban Traffic
73,74,Coventry Allesley,COAL,52.411563,-1.560228,Urban Background
74,75,Coventry Binley Road,COBR,52.407708,-1.490082,Urban Traffic
75,76,Coventry Centre,COV2,52.41345,-1.522133,Urban Background
76,77,Crewe Coppenhall,COPP,53.115941,-2.453492,Urban Background
77,78,Cwmbran,CWMB,51.6538,-3.006953,Urban Background
78,79,Derby St Alkmund's Way,DESA,52.922983,-1.469507,Urban Traffic
79,80,Derry,DERY,55.001225,-7.329115,Urban Background
80,81,Derry Rosemount,DERR,55.002818,-7.331179,Urban Background
81,82,Dewsbury Ashworth Grove,DYAG,53.693104,-1.637111,Urban Background
82,83,Doncaster A630 Cleveland Street,DCST,53.51824,-1.1380569999999999,Urban Traffic
83,84,Dumbarton Roadside,DUMB,55.943197,-4.55973,Urban Traffic
84,85,Dumfries,DUMF,55.070033,-3.614233,Urban Traffic
85,86,Dundee Mains Loan,DCC1,56.475434,-2.959861,Urban Background
86,87,Ealing Horn Lane,EA8,51.51895,-0.265617,Urban Traffic
87,88,East Kilbride,EK,55.754737,-4.171789,Suburban Background
88,89,Eastbourne,EB,50.805778,0.271611,Urban Background
89,90,Edinburgh Centre,ED,55.95197,-3.195775,Urban Background
90,91,Edinburgh Med. Sch.,ED2,55.94427,-3.191183,Urban Background
91,92,Edinburgh Nicolson Street,EDNS,55.94476,-3.183991,Urban Traffic
92,93,Edinburgh St Leonards,ED3,55.945589,-3.182186,Urban Background
93,94,Eskdalemuir,ESK,55.31531,-3.206111,Rural Background
94,95,Exeter Roadside,EX,50.725083,-3.532465,Urban Traffic
95,96,Featherstone,FEA,53.670222,-1.3521459999999998,Urban Background
96,97,Fort William,FW,56.82266,-5.101102,Suburban Background
97,98,Glasgow Centre,GLA3,55.857730000000004,-4.255161,Urban Background
98,99,Glasgow City Chambers,GLA,55.860414,-4.245959,Urban Background
99,100,Glasgow Great Western Road,GGWR,55.872038,-4.270936,Urban Traffic
100,101,Glasgow High Street,GHSR,55.860936,-4.238214,Urban Traffic
101,102,Glasgow Hope St,GLAS,55.858317,-4.259062,Urban Traffic
102,103,Glasgow Kerbside,GLA4,55.85917,-4.258889,Urban Traffic
103,104,Glasgow Townhead,GLKP,55.865782,-4.243631,Urban Background
104,105,Glazebury,GLAZ,53.46008,-2.472056,Rural Background
105,106,Grangemouth,GRAN,56.010319,-3.704399,Urban Industrial
106,107,Grangemouth Moray,GRA2,56.013142,-3.710833,Urban Industrial
107,108,Great Dun Fell,GDF,54.684233,-2.450799,Rural Background
108,109,Greenock A8 Roadside,GKA8,55.944079,-4.734421,Urban Traffic
109,110,Hafod-yr-ynys Roadside,CAE6,51.680579,-3.133508,Urban Traffic
110,111,Haringey Roadside,HG1,51.5993,-0.068218,Urban Traffic
111,112,Hartlepool St Abbs Walk,HSAW,54.683242,-1.203838,Urban Background
112,113,Harwell,HAR,51.571078,-1.325283,Rural Background
113,114,High Muffles,HM,54.334944,-0.8085500000000001,Rural Background
114,115,Honiton,HONI,50.792287,-3.196702,Urban Background
115,116,Horley,HORE,51.165865,-0.167734,Suburban Industrial
116,117,Hounslow Roadside,HS1,51.48965,-0.308975,Urban Traffic
117,118,Hove Roadside,HOVE,50.82778,-0.170294,Urban Traffic
118,119,Hull Centre,HULL,53.74479,-0.338322,Urban Background
119,120,Hull Freetown,HUL2,53.748780000000004,-0.34122199999999997,Urban Background
120,121,Hull Holderness Road,HULR,53.758971,-0.305749,Urban Traffic
121,122,Immingham Woodlands Avenue,IMGM,53.619241,-0.21332399999999999,Urban Background
122,123,Inverness,INV2,57.481308,-4.241451,Urban Traffic
123,124,Ladybower,LB,53.40337,-1.752006,Rural Background
124,125,Leamington Spa,LEAM,52.28881,-1.5331190000000001,Urban Background
125,126,Leamington Spa Rugby Road,LEAR,52.294884,-1.542911,Urban Traffic
126,127,Leeds Centre,LEED,53.80378,-1.546472,Urban Background
127,128,Leeds Headingley Kerbside,LED6,53.819972,-1.576361,Urban Traffic
128,129,Leeds Potternewton,LDS,53.82568,-1.535098,Urban Background
129,130,Leicester A594 Roadside,LEIR,52.638677,-1.124228,Urban Traffic
130,131,Leicester Centre,LEIC,52.631348,-1.133006,Urban Background
131,132,Leicester University,LECU,52.619823,-1.127311,Urban Background
132,133,Leominster,LEOM,52.22174,-2.736665,Suburban Background
133,134,Lerwick,LERW,60.13922,-1.185319,Rural Background
134,135,Lincoln Canwick Road,LIN3,53.221373,-0.534189,Urban Traffic
135,136,Lincoln Roadside,LINC,53.22889,-0.537895,Urban Traffic
136,137,Liverpool Centre,LIVR,53.40845,-2.9802489999999997,Urban Background
137,138,Liverpool Queen's Drive Roadside,LV6,53.446944,-2.9625,Urban Traffic
138,139,Liverpool Speke,LVP,53.34633,-2.844333,Urban Industrial
139,140,London A3 Roadside,A3,51.37348,-0.291853,Urban Traffic
140,141,London Bexley,BEX,51.46603,0.184806,Suburban Background
141,142,London Bloomsbury,CLL2,51.52229,-0.125889,Urban Background
142,143,London Brent,BREN,51.589769,-0.276223,Urban Background
143,144,London Bridge Place,BRI,51.49521,-0.141655,Urban Background
144,145,London Bromley,BY2,51.40555,0.018869,Urban Traffic
145,146,London Canvey,CAN,51.53308,0.5678369999999999,Urban Industrial
146,147,London Cromwell Road,CRD,51.49492,-0.180564,Urban Traffic
147,148,London Cromwell Road 2,CRD2,51.495483,-0.17870899999999998,Urban Traffic
148,149,London Eltham,LON6,51.45258,0.070766,Suburban Background
149,150,London Hackney,HK4,51.55877,-0.056591999999999996,Urban Background
150,151,London Haringey,HG2,51.58603,-0.126486,Urban Background
