date,driving,D,transit,T,walking,W
13/01/2020,100,0,100,0,100,0
14/01/2020,104.86,4.86,104.2,4.2,106.14,6.14
15/01/2020,106.4,6.4,105.37,5.37,114.37,14.37
16/01/2020,104.28,4.28,103.89,3.89,112.59,12.59
17/01/2020,109.27,9.27,109.38,9.38,128.99,28.99
18/01/2020,108.3,8.3,115.05,15.05,157.81,57.81
19/01/2020,94.3,-5.7,99.52,-0.48,101.98,1.98
20/01/2020,103.22,3.22,103.88,3.88,109.43,9.43
21/01/2020,107.88,7.88,108,8,118.46,18.46
22/01/2020,108.79,8.79,110.91,10.91,122.92,22.92
23/01/2020,106.41,6.41,108.37,8.37,122.03,22.03
24/01/2020,113.54,13.54,115.49,15.49,139.4,39.4
25/01/2020,111.13,11.13,118.64,18.64,165.49,65.49
26/01/2020,95.33,-4.67,100.95,0.95,97.84,-2.16
27/01/2020,101.81,1.81,103.81,3.81,104.79,4.79
28/01/2020,105.64,5.64,105.67,5.67,113.53,13.53
29/01/2020,106.97,6.97,109.06,9.06,122.36,22.36
30/01/2020,105.43,5.43,108.51,8.51,119.75,19.75
31/01/2020,114.55,14.55,118.03,18.03,143.62,43.62
01/02/2020,112.34,12.34,119.31,19.31,169.08,69.08
02/02/2020,96.88,-3.12,105.44,5.44,103.22,3.22
03/02/2020,100.79,0.79,104.05,4.05,106.76,6.76
04/02/2020,106.62,6.62,106.8,6.8,115.85,15.85
05/02/2020,107.82,7.82,109.37,9.37,124.21,24.21
06/02/2020,107.32,7.32,108.48,8.48,123.83,23.83
07/02/2020,114.77,14.77,116.15,16.15,142.03,42.03
08/02/2020,111.59,11.59,122.06,22.06,169.55,69.55
09/02/2020,95.17,-4.83,100.52,0.52,79.14,-20.86
10/02/2020,108.75,8.75,106.76,6.76,101.55,1.55
11/02/2020,108.02,8.02,107.86,7.86,111.72,11.72
12/02/2020,108.95,8.95,110.08,10.08,122.43,22.43
13/02/2020,109.78,9.78,107.83,7.83,120.97,20.97
14/02/2020,119.65,19.65,117.79,17.79,153.72,53.72
15/02/2020,109.55,9.55,119,19,152.82,52.82
16/02/2020,101.42,1.42,109.71,9.71,98.69,-1.31
17/02/2020,118.6,18.6,119.36,19.36,128.1,28.1
18/02/2020,119.26,19.26,118.76,18.76,130.01,30.01
19/02/2020,121.56,21.56,121.93,21.93,136.18,36.18
20/02/2020,118.33,18.33,118.81,18.81,131.67,31.67
21/02/2020,127.35,27.35,126.56,26.56,152.89,52.89
22/02/2020,115.64,15.64,126.9,26.9,169.46,69.46
23/02/2020,101.34,1.34,105.46,5.46,101.08,1.08
24/02/2020,108.75,8.75,107.92,7.92,104.26,4.26
25/02/2020,108.16,8.16,108.13,8.13,115.57,15.57
26/02/2020,109.74,9.74,108.85,8.85,121.26,21.26
27/02/2020,109.6,9.6,108.32,8.32,119.74,19.74
28/02/2020,122.59,22.59,118.5,18.5,138.49,38.49
29/02/2020,115.93,15.93,118.75,18.75,162.75,62.75
01/03/2020,100.48,0.48,103.74,3.74,105.44,5.44
02/03/2020,104.64,4.64,103.96,3.96,107.54,7.54
03/03/2020,108.34,8.34,105.51,5.51,114.84,14.84
04/03/2020,109.59,9.59,106.1,6.1,116.67,16.67
05/03/2020,109.18,9.18,105.14,5.14,110.07,10.07
06/03/2020,118.61,18.61,114.68,14.68,144.51,44.51
07/03/2020,115.05,15.05,118.05,18.05,172.59,72.59
08/03/2020,97.9,-2.1,97.76,-2.24,101.39,1.39
09/03/2020,101.47,1.47,99,-1,100.87,0.87
10/03/2020,102.73,2.73,99.54,-0.46,108.28,8.28
11/03/2020,102.32,2.32,95.28,-4.72,111.71,11.71
12/03/2020,94.18,-5.82,86.55,-13.45,102.65,2.65
13/03/2020,99.62,-0.38,88.77,-11.23,117.26,17.26
14/03/2020,94.11,-5.89,88.31,-11.69,132.4,32.4
15/03/2020,76.22,-23.78,67.17,-32.83,73.47,-26.53
16/03/2020,79.05,-20.95,61.47,-38.53,75.75,-24.25
17/03/2020,69.91,-30.09,49.57,-50.43,62.55,-37.45
18/03/2020,66.55,-33.45,43.41,-56.59,56.11,-43.89
19/03/2020,67.07,-32.93,41.52,-58.48,54.04,-45.96
20/03/2020,68.81,-31.19,37.97,-62.03,58.17,-41.83
21/03/2020,56.73,-43.27,30.08,-69.92,52.54,-47.46
22/03/2020,46.81,-53.19,28.1,-71.9,42.16,-57.84
23/03/2020,52.26,-47.74,27.42,-72.58,45.89,-54.11
24/03/2020,38.31,-61.69,19.49,-80.51,37.23,-62.77
25/03/2020,36.16,-63.84,17.87,-82.13,38.72,-61.28
26/03/2020,35.19,-64.81,16.97,-83.03,38.3,-61.7
27/03/2020,36.93,-63.07,16.56,-83.44,40.83,-59.17
28/03/2020,29.6,-70.4,15.38,-84.62,37.43,-62.57
29/03/2020,24.72,-75.28,15.34,-84.66,29.62,-70.38
30/03/2020,32.8,-67.2,16.85,-83.15,34.55,-65.45
31/03/2020,34.38,-65.62,16.4,-83.6,38.69,-61.31
01/04/2020,34.1,-65.9,16,-84,38.16,-61.84
02/04/2020,34.25,-65.75,15.91,-84.09,38.45,-61.55
03/04/2020,37.6,-62.4,15.53,-84.47,42.67,-57.33
04/04/2020,31.53,-68.47,14.41,-85.59,42.78,-57.22
05/04/2020,27.02,-72.98,14.81,-85.19,36.77,-63.23
06/04/2020,34.74,-65.26,15.8,-84.2,37.16,-62.84
07/04/2020,36.06,-63.94,15.57,-84.43,41.7,-58.3
08/04/2020,36.67,-63.33,15.59,-84.41,41.69,-58.31
09/04/2020,38.05,-61.95,15.45,-84.55,43.55,-56.45
10/04/2020,34.4,-65.6,14.92,-85.08,45.19,-54.81
11/04/2020,31.74,-68.26,14.17,-85.83,44.4,-55.6
12/04/2020,24.46,-75.54,13.5,-86.5,34.94,-65.06
13/04/2020,29.72,-70.28,15.29,-84.71,37.14,-62.86
14/04/2020,38.71,-61.29,16.35,-83.65,45.4,-54.6
15/04/2020,40.02,-59.98,16.64,-83.36,48.31,-51.69
16/04/2020,40.08,-59.92,16.26,-83.74,46.97,-53.03
17/04/2020,41.72,-58.28,15.65,-84.35,44.36,-55.64
18/04/2020,35.18,-64.82,14.82,-85.18,42.18,-57.82
19/04/2020,31.94,-68.06,15.7,-84.3,44.39,-55.61
20/04/2020,39.99,-60.01,17.27,-82.73,44.92,-55.08
21/04/2020,41.19,-58.81,17.05,-82.95,45.61,-54.39
22/04/2020,42.03,-57.97,17.04,-82.96,46.54,-53.46
23/04/2020,42.36,-57.64,16.97,-83.03,46.36,-53.64
24/04/2020,45.69,-54.31,16.63,-83.37,49.85,-50.15
25/04/2020,39.03,-60.97,16.37,-83.63,49.52,-50.48
26/04/2020,34.9,-65.1,16.96,-83.04,44.12,-55.88
27/04/2020,41.8,-58.2,17.53,-82.47,41.46,-58.54
28/04/2020,41.61,-58.39,16.65,-83.35,35.33,-64.67
29/04/2020,42.53,-57.47,16.79,-83.21,37.8,-62.2
30/04/2020,43.52,-56.48,16.48,-83.52,37.29,-62.71
01/05/2020,47.82,-52.18,17.21,-82.79,44.94,-55.06
02/05/2020,42.57,-57.43,17.21,-82.79,50.01,-49.99
03/05/2020,36.61,-63.39,17.71,-82.29,39.99,-60.01
04/05/2020,44.71,-55.29,19.24,-80.76,43.61,-56.39
05/05/2020,46.94,-53.06,19.2,-80.8,45.92,-54.08
06/05/2020,48.33,-51.67,19.38,-80.62,49.36,-50.64
07/05/2020,49.14,-50.86,19.43,-80.57,50.31,-49.69
08/05/2020,44.14,-55.86,19.1,-80.9,53.26,-46.74
09/05/2020,43.57,-56.43,19.91,-80.09,55.61,-44.39
10/05/2020,38.3,-61.7,19.04,-80.96,38.68,-61.32
11/05/2020,,null,,null,,null
12/05/2020,,null,,null,,null
13/05/2020,55.21,-44.79,21.85,-78.15,50.92,-49.08
14/05/2020,57.51,-42.49,21.52,-78.48,53.86,-46.14
