Date,Reduction,Reduction2
01/01/2020,-3.787508893,-0.0379
31/01/2020,-3.787508893,-0.0379
01/02/2020,-3.279902317,-0.0328
29/02/2020,-3.279902317,-0.0328
01/03/2020,-22.81435441,-0.2281
31/03/2020,-22.81435441,-0.2281
01/04/2020,-92.34510395,-0.9235
30/04/2020,-92.34510395,-0.9235
04/05/2020,-92.49812453,-0.9250
11/05/2020,-92.31771965,-0.9232
18/05/2020,-93.94419242,-0.9394
25/05/2020,-94.62174941,-0.9462
01/06/2020,-93.5631992,-0.9356
08/06/2020,-93.26109606,-0.9326
15/06/2020,-87.45024094,-0.8745
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
